date,product,category,price,discount,quantity_sold,profit,profit_margin,event
2022-01-01,Noctua NH-D15,Air Cooler,81.89,9%,1420,26835.02,0.3,New Year's Sale
2022-01-01,Dark Rock Pro 4,Air Cooler,75.99,5%,1261,23199.5,0.28,New Year's Sale
2022-01-01,Corsair H100i,Liquid AIO Cooler,119.59,8%,1105,38782.52,0.35,New Year's Sale
2022-01-01,NZXT Kraken X63,Liquid AIO Cooler,128.79,8%,989,34612.53,0.33,New Year's Sale
2022-01-01,EKWB EK-KIT P240,Custom Liquid Cooler,218.39,9%,721,53640.16,0.4,New Year's Sale
2022-01-01,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1128,125203.83,0.42,New Year's Sale
2022-01-02,Noctua NH-D15,Air Cooler,83.69,7%,1385,28666.31,0.3,New Year's Sale
2022-01-02,Dark Rock Pro 4,Air Cooler,75.99,5%,1250,22997.12,0.28,New Year's Sale
2022-01-02,Corsair H100i,Liquid AIO Cooler,122.19,6%,1046,39431.17,0.35,New Year's Sale
2022-01-02,NZXT Kraken X63,Liquid AIO Cooler,131.59,6%,964,36436.6,0.33,New Year's Sale
2022-01-02,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,702,58965.54,0.4,New Year's Sale
2022-01-02,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1129,125314.82,0.42,New Year's Sale
2022-01-03,Noctua NH-D15,Air Cooler,85.49,5%,1374,30911.57,0.3,New Year's Sale
2022-01-03,Dark Rock Pro 4,Air Cooler,71.99,10%,1342,19322.38,0.28,New Year's Sale
2022-01-03,Corsair H100i,Liquid AIO Cooler,123.49,5%,1055,41141.83,0.35,New Year's Sale
2022-01-03,NZXT Kraken X63,Liquid AIO Cooler,131.59,6%,975,36852.37,0.33,New Year's Sale
2022-01-03,EKWB EK-KIT P240,Custom Liquid Cooler,223.19,7%,707,55992.07,0.4,New Year's Sale
2022-01-03,Thermaltake Pacific CL360,Custom Liquid Cooler,275.99,8%,1134,115664.14,0.42,New Year's Sale
2022-01-04,Noctua NH-D15,Air Cooler,83.69,7%,1384,28645.62,0.3,New Year's Sale
2022-01-04,Dark Rock Pro 4,Air Cooler,74.39,7%,1265,21249.34,0.28,New Year's Sale
2022-01-04,Corsair H100i,Liquid AIO Cooler,118.29,9%,1108,37447.52,0.35,New Year's Sale
2022-01-04,NZXT Kraken X63,Liquid AIO Cooler,132.99,5%,950,37237.34,0.33,New Year's Sale
2022-01-04,EKWB EK-KIT P240,Custom Liquid Cooler,218.39,9%,732,54458.53,0.4,New Year's Sale
2022-01-04,Thermaltake Pacific CL360,Custom Liquid Cooler,278.99,7%,1140,119696.01,0.42,New Year's Sale
2022-01-05,Noctua NH-D15,Air Cooler,84.59,6%,1383,29869.48,0.3,New Year's Sale
2022-01-05,Dark Rock Pro 4,Air Cooler,75.19,6%,1294,22771.55,0.28,New Year's Sale
2022-01-05,Corsair H100i,Liquid AIO Cooler,119.59,8%,1078,37834.89,0.35,New Year's Sale
2022-01-05,NZXT Kraken X63,Liquid AIO Cooler,128.79,8%,993,34752.52,0.33,New Year's Sale
2022-01-05,EKWB EK-KIT P240,Custom Liquid Cooler,220.79,8%,714,54832.92,0.4,New Year's Sale
2022-01-05,Thermaltake Pacific CL360,Custom Liquid Cooler,281.99,6%,1101,118904.04,0.42,New Year's Sale
2022-01-06,Noctua NH-D15,Air Cooler,82.79,8%,1428,28271.26,0.3,New Year's Sale
2022-01-06,Dark Rock Pro 4,Air Cooler,72.79,9%,1321,20076.69,0.28,New Year's Sale
2022-01-06,Corsair H100i,Liquid AIO Cooler,118.29,9%,1088,36771.57,0.35,New Year's Sale
2022-01-06,NZXT Kraken X63,Liquid AIO Cooler,127.39,9%,999,33564.0,0.33,New Year's Sale
2022-01-06,EKWB EK-KIT P240,Custom Liquid Cooler,218.39,9%,719,53491.37,0.4,New Year's Sale
2022-01-06,Thermaltake Pacific CL360,Custom Liquid Cooler,269.99,10%,1184,113660.21,0.42,New Year's Sale
2022-01-07,Noctua NH-D15,Air Cooler,85.49,5%,1338,30101.66,0.3,New Year's Sale
2022-01-07,Dark Rock Pro 4,Air Cooler,75.19,6%,1293,22753.96,0.28,New Year's Sale
2022-01-07,Corsair H100i,Liquid AIO Cooler,116.99,10%,1095,35584.76,0.35,New Year's Sale
2022-01-07,NZXT Kraken X63,Liquid AIO Cooler,131.59,6%,971,36701.18,0.33,New Year's Sale
2022-01-07,EKWB EK-KIT P240,Custom Liquid Cooler,223.19,7%,723,57259.21,0.4,New Year's Sale
2022-01-07,Thermaltake Pacific CL360,Custom Liquid Cooler,275.99,8%,1147,116990.1,0.42,New Year's Sale
2022-01-08,Noctua NH-D15,Air Cooler,80.99,10%,1404,25269.19,0.3,New Year's Sale
2022-01-08,Dark Rock Pro 4,Air Cooler,71.99,10%,1340,19293.59,0.28,New Year's Sale
2022-01-08,Corsair H100i,Liquid AIO Cooler,123.49,5%,1049,40907.85,0.35,New Year's Sale
2022-01-08,NZXT Kraken X63,Liquid AIO Cooler,128.79,8%,968,33877.58,0.33,New Year's Sale
2022-01-08,EKWB EK-KIT P240,Custom Liquid Cooler,220.79,8%,707,54295.34,0.4,New Year's Sale
2022-01-08,Thermaltake Pacific CL360,Custom Liquid Cooler,278.99,7%,1152,120955.97,0.42,New Year's Sale
2022-01-09,Noctua NH-D15,Air Cooler,82.79,8%,1385,27419.95,0.3,New Year's Sale
2022-01-09,Dark Rock Pro 4,Air Cooler,73.59,8%,1318,21085.36,0.28,New Year's Sale
2022-01-09,Corsair H100i,Liquid AIO Cooler,120.89,7%,1078,39236.18,0.35,New Year's Sale
2022-01-09,NZXT Kraken X63,Liquid AIO Cooler,131.59,6%,974,36814.57,0.33,New Year's Sale
2022-01-09,EKWB EK-KIT P240,Custom Liquid Cooler,218.39,9%,739,54979.31,0.4,New Year's Sale
